sample_id,rgb_relative_path,skeleton_path,person,action,group,camera,low_view_height_cm,low_camera_order,reference_camera,angle_definition,direct_estimated_relative_yaw_deg,estimated_relative_yaw_deg,angle_source,angle_mad_deg,median_fit_rmse_m,candidate_frame_count,usable_frame_count,stable_frame_count,confidence
A033_P009_G001_C003,RGB_P001-P010/P001-P010/P009/A033_P009_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A033_P009_G001_C003.csv,P009,A033,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-10.62,-10.62,pairwise_skeleton_registration,3.73,0.1952,275,275,253,high
A033_P009_G001_C005,RGB_P001-P010/P001-P010/P009/A033_P009_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A033_P009_G001_C005.csv,P009,A033,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-13.84,-13.84,pairwise_skeleton_registration,8.66,0.2271,275,275,225,medium
A033_P009_G001_C007,RGB_P001-P010/P001-P010/P009/A033_P009_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A033_P009_G001_C007.csv,P009,A033,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,6.53,6.53,pairwise_skeleton_registration,5.35,0.2439,275,275,146,high
A033_P009_G002_C001,RGB_P001-P010/P001-P010/P009/A033_P009_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A033_P009_G002_C001.csv,P009,A033,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A033_P009_G002_C003,RGB_P001-P010/P001-P010/P009/A033_P009_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A033_P009_G002_C003.csv,P009,A033,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,18.5,18.5,pairwise_skeleton_registration,8.71,0.1975,225,225,218,medium
A033_P009_G002_C005,RGB_P001-P010/P001-P010/P009/A033_P009_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A033_P009_G002_C005.csv,P009,A033,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,1.75,1.75,pairwise_skeleton_registration,8.97,0.2667,225,225,167,medium
A033_P009_G002_C007,RGB_P001-P010/P001-P010/P009/A033_P009_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A033_P009_G002_C007.csv,P009,A033,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,22.33,22.33,pairwise_skeleton_registration,6.42,0.2548,225,225,176,medium
A034_P009_G001_C001,RGB_P001-P010/P001-P010/P009/A034_P009_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A034_P009_G001_C001.csv,P009,A034,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A034_P009_G001_C003,RGB_P001-P010/P001-P010/P009/A034_P009_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A034_P009_G001_C003.csv,P009,A034,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,9.2,9.2,pairwise_skeleton_registration,1.72,0.194,126,126,126,high
A034_P009_G001_C005,RGB_P001-P010/P001-P010/P009/A034_P009_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A034_P009_G001_C005.csv,P009,A034,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,10.18,10.18,pairwise_skeleton_registration,2.25,0.2227,126,126,126,high
A034_P009_G001_C007,RGB_P001-P010/P001-P010/P009/A034_P009_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A034_P009_G001_C007.csv,P009,A034,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,27.68,27.68,pairwise_skeleton_registration,4.57,0.2679,126,126,113,medium
A034_P009_G002_C001,RGB_P001-P010/P001-P010/P009/A034_P009_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A034_P009_G002_C001.csv,P009,A034,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A034_P009_G002_C003,RGB_P001-P010/P001-P010/P009/A034_P009_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A034_P009_G002_C003.csv,P009,A034,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,2.02,2.02,pairwise_skeleton_registration,0.92,0.227,92,92,92,high
A034_P009_G002_C005,RGB_P001-P010/P001-P010/P009/A034_P009_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A034_P009_G002_C005.csv,P009,A034,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-23.57,-23.57,pairwise_skeleton_registration,2.28,0.2805,92,92,82,medium
A034_P009_G002_C007,RGB_P001-P010/P001-P010/P009/A034_P009_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A034_P009_G002_C007.csv,P009,A034,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,18.62,18.62,pairwise_skeleton_registration,1.25,0.2792,92,92,92,medium
A035_P009_G001_C001,RGB_P001-P010/P001-P010/P009/A035_P009_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G001_C001.csv,P009,A035,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A035_P009_G001_C003,RGB_P001-P010/P001-P010/P009/A035_P009_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G001_C003.csv,P009,A035,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-0.31,-0.31,pairwise_skeleton_registration,1.56,0.2411,110,110,110,high
A035_P009_G001_C005,RGB_P001-P010/P001-P010/P009/A035_P009_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G001_C005.csv,P009,A035,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,pairwise_skeleton_registration,0.92,0.2816,110,110,110,medium
A035_P009_G001_C007,RGB_P001-P010/P001-P010/P009/A035_P009_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G001_C007.csv,P009,A035,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,8.87,8.87,pairwise_skeleton_registration,4.6,0.2501,110,110,108,medium
A035_P009_G002_C001,RGB_P001-P010/P001-P010/P009/A035_P009_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G002_C001.csv,P009,A035,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A035_P009_G002_C003,RGB_P001-P010/P001-P010/P009/A035_P009_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G002_C003.csv,P009,A035,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,16.76,16.76,pairwise_skeleton_registration,1.22,0.0796,141,141,141,high
A035_P009_G002_C005,RGB_P001-P010/P001-P010/P009/A035_P009_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G002_C005.csv,P009,A035,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,53.38,53.38,pairwise_skeleton_registration,1.4,0.1353,141,141,141,high
A035_P009_G002_C007,RGB_P001-P010/P001-P010/P009/A035_P009_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G002_C007.csv,P009,A035,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,25.26,25.26,pairwise_skeleton_registration,1.9,0.1944,141,141,141,high
A035_P009_G003_C001,RGB_P001-P010/P001-P010/P009/A035_P009_G003_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G003_C001.csv,P009,A035,G003,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A035_P009_G003_C003,RGB_P001-P010/P001-P010/P009/A035_P009_G003_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G003_C003.csv,P009,A035,G003,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-8.87,-8.87,pairwise_skeleton_registration,1.3,0.2547,151,151,151,medium
A035_P009_G003_C005,RGB_P001-P010/P001-P010/P009/A035_P009_G003_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G003_C005.csv,P009,A035,G003,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,26.36,26.36,pairwise_skeleton_registration,3.52,0.2327,151,151,151,high
A035_P009_G003_C007,RGB_P001-P010/P001-P010/P009/A035_P009_G003_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A035_P009_G003_C007.csv,P009,A035,G003,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,28.48,28.48,pairwise_skeleton_registration,1.0,0.2078,151,151,151,high
A036_P009_G001_C001,RGB_P001-P010/P001-P010/P009/A036_P009_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G001_C001.csv,P009,A036,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A036_P009_G001_C003,RGB_P001-P010/P001-P010/P009/A036_P009_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G001_C003.csv,P009,A036,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-24.2,-24.2,pairwise_skeleton_registration,1.6,0.2151,161,161,120,high
A036_P009_G001_C005,RGB_P001-P010/P001-P010/P009/A036_P009_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G001_C005.csv,P009,A036,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-62.24,-62.24,pairwise_skeleton_registration,3.72,0.379,161,161,107,low
A036_P009_G001_C007,RGB_P001-P010/P001-P010/P009/A036_P009_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G001_C007.csv,P009,A036,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-9.46,-9.46,pairwise_skeleton_registration,3.89,0.2648,161,161,50,medium
A036_P009_G002_C001,RGB_P001-P010/P001-P010/P009/A036_P009_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G002_C001.csv,P009,A036,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A036_P009_G002_C003,RGB_P001-P010/P001-P010/P009/A036_P009_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G002_C003.csv,P009,A036,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,19.28,19.28,pairwise_skeleton_registration,1.04,0.1434,141,141,141,high
A036_P009_G002_C005,RGB_P001-P010/P001-P010/P009/A036_P009_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G002_C005.csv,P009,A036,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,54.98,54.98,pairwise_skeleton_registration,2.23,0.1577,141,141,141,high
A036_P009_G002_C007,RGB_P001-P010/P001-P010/P009/A036_P009_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G002_C007.csv,P009,A036,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,40.89,40.89,pairwise_skeleton_registration,1.34,0.1919,141,141,141,high
A036_P009_G003_C001,RGB_P001-P010/P001-P010/P009/A036_P009_G003_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G003_C001.csv,P009,A036,G003,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A036_P009_G003_C003,RGB_P001-P010/P001-P010/P009/A036_P009_G003_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G003_C003.csv,P009,A036,G003,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,16.09,16.09,pairwise_skeleton_registration,5.71,0.2899,177,177,177,medium
A036_P009_G003_C005,RGB_P001-P010/P001-P010/P009/A036_P009_G003_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G003_C005.csv,P009,A036,G003,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,44.46,44.46,pairwise_skeleton_registration,2.37,0.2634,177,177,177,medium
A036_P009_G003_C007,RGB_P001-P010/P001-P010/P009/A036_P009_G003_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A036_P009_G003_C007.csv,P009,A036,G003,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,47.01,47.01,pairwise_skeleton_registration,1.98,0.2492,177,177,177,high
A037_P009_G001_C001,RGB_P001-P010/P001-P010/P009/A037_P009_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A037_P009_G001_C001.csv,P009,A037,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A037_P009_G001_C003,RGB_P001-P010/P001-P010/P009/A037_P009_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A037_P009_G001_C003.csv,P009,A037,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,2.43,2.43,pairwise_skeleton_registration,2.21,0.2711,216,216,215,medium
A037_P009_G001_C005,RGB_P001-P010/P001-P010/P009/A037_P009_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A037_P009_G001_C005.csv,P009,A037,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-14.71,-14.71,pairwise_skeleton_registration,5.21,0.3696,216,216,213,low
A037_P009_G001_C007,RGB_P001-P010/P001-P010/P009/A037_P009_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A037_P009_G001_C007.csv,P009,A037,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,2.64,2.64,pairwise_skeleton_registration,1.86,0.2474,216,216,216,high
A038_P009_G001_C001,RGB_P001-P010/P001-P010/P009/A038_P009_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A038_P009_G001_C001.csv,P009,A038,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A038_P009_G001_C003,RGB_P001-P010/P001-P010/P009/A038_P009_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A038_P009_G001_C003.csv,P009,A038,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,7.81,7.81,pairwise_skeleton_registration,5.08,0.2705,136,136,126,medium
A038_P009_G001_C005,RGB_P001-P010/P001-P010/P009/A038_P009_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A038_P009_G001_C005.csv,P009,A038,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-7.64,-7.64,pairwise_skeleton_registration,3.44,0.2791,136,136,120,medium
A038_P009_G001_C007,RGB_P001-P010/P001-P010/P009/A038_P009_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A038_P009_G001_C007.csv,P009,A038,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-6.63,-6.63,pairwise_skeleton_registration,8.78,0.2539,136,136,108,medium
A038_P009_G002_C001,RGB_P001-P010/P001-P010/P009/A038_P009_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A038_P009_G002_C001.csv,P009,A038,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A038_P009_G002_C003,RGB_P001-P010/P001-P010/P009/A038_P009_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A038_P009_G002_C003.csv,P009,A038,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-3.49,-3.49,pairwise_skeleton_registration,1.81,0.2104,123,123,123,high
A038_P009_G002_C005,RGB_P001-P010/P001-P010/P009/A038_P009_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A038_P009_G002_C005.csv,P009,A038,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,20.87,20.87,pairwise_skeleton_registration,2.3,0.2122,123,123,123,high
A038_P009_G002_C007,RGB_P001-P010/P001-P010/P009/A038_P009_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A038_P009_G002_C007.csv,P009,A038,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,26.33,26.33,pairwise_skeleton_registration,2.29,0.2017,123,123,123,high
A039_P009_G001_C001,RGB_P001-P010/P001-P010/P009/A039_P009_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A039_P009_G001_C001.csv,P009,A039,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A039_P009_G001_C003,RGB_P001-P010/P001-P010/P009/A039_P009_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A039_P009_G001_C003.csv,P009,A039,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-15.47,-15.47,pairwise_skeleton_registration,2.75,0.1863,195,195,195,high
A039_P009_G001_C005,RGB_P001-P010/P001-P010/P009/A039_P009_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A039_P009_G001_C005.csv,P009,A039,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,10.72,10.72,pairwise_skeleton_registration,6.87,0.2242,195,195,101,high
A039_P009_G001_C007,RGB_P001-P010/P001-P010/P009/A039_P009_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A039_P009_G001_C007.csv,P009,A039,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,54.19,54.19,pairwise_skeleton_registration,8.43,0.222,195,195,95,medium
A039_P009_G002_C001,RGB_P001-P010/P001-P010/P009/A039_P009_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A039_P009_G002_C001.csv,P009,A039,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A039_P009_G002_C003,RGB_P001-P010/P001-P010/P009/A039_P009_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A039_P009_G002_C003.csv,P009,A039,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,1.51,1.51,pairwise_skeleton_registration,1.34,0.0906,219,219,219,high
A039_P009_G002_C005,RGB_P001-P010/P001-P010/P009/A039_P009_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A039_P009_G002_C005.csv,P009,A039,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,37.39,37.39,pairwise_skeleton_registration,1.36,0.0512,219,219,219,high
A039_P009_G002_C007,RGB_P001-P010/P001-P010/P009/A039_P009_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A039_P009_G002_C007.csv,P009,A039,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,64.52,64.52,pairwise_skeleton_registration,1.15,0.0619,219,219,219,high
A040_P009_G001_C001,RGB_P001-P010/P001-P010/P009/A040_P009_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A040_P009_G001_C001.csv,P009,A040,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A040_P009_G001_C003,RGB_P001-P010/P001-P010/P009/A040_P009_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A040_P009_G001_C003.csv,P009,A040,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-9.5,-9.5,pairwise_skeleton_registration,2.69,0.2356,234,234,234,high
A040_P009_G001_C005,RGB_P001-P010/P001-P010/P009/A040_P009_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A040_P009_G001_C005.csv,P009,A040,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,37.86,37.86,pairwise_skeleton_registration,3.19,0.3228,234,234,233,medium
A040_P009_G001_C007,RGB_P001-P010/P001-P010/P009/A040_P009_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A040_P009_G001_C007.csv,P009,A040,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-23.14,-23.14,pairwise_skeleton_registration,6.83,0.2344,234,234,141,high
A040_P009_G002_C001,RGB_P001-P010/P001-P010/P009/A040_P009_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A040_P009_G002_C001.csv,P009,A040,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A040_P009_G002_C003,RGB_P001-P010/P001-P010/P009/A040_P009_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A040_P009_G002_C003.csv,P009,A040,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,3.6,3.6,pairwise_skeleton_registration,2.01,0.052,174,174,174,high
A040_P009_G002_C005,RGB_P001-P010/P001-P010/P009/A040_P009_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A040_P009_G002_C005.csv,P009,A040,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,33.87,33.87,pairwise_skeleton_registration,1.32,0.0542,174,174,174,high
A040_P009_G002_C007,RGB_P001-P010/P001-P010/P009/A040_P009_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A040_P009_G002_C007.csv,P009,A040,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,47.45,47.45,pairwise_skeleton_registration,2.14,0.1056,174,174,174,high
A041_P009_G001_C001,RGB_P001-P010/P001-P010/P009/A041_P009_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A041_P009_G001_C001.csv,P009,A041,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A041_P009_G001_C003,RGB_P001-P010/P001-P010/P009/A041_P009_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A041_P009_G001_C003.csv,P009,A041,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-8.12,-8.12,pairwise_skeleton_registration,5.42,0.3493,222,222,189,medium
A041_P009_G001_C005,RGB_P001-P010/P001-P010/P009/A041_P009_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A041_P009_G001_C005.csv,P009,A041,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-12.95,-12.95,pairwise_skeleton_registration,6.17,0.376,222,222,126,low
A041_P009_G001_C007,RGB_P001-P010/P001-P010/P009/A041_P009_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A041_P009_G001_C007.csv,P009,A041,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,9.72,9.72,pairwise_skeleton_registration,8.07,0.3827,222,222,136,low
A041_P009_G002_C001,RGB_P001-P010/P001-P010/P009/A041_P009_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A041_P009_G002_C001.csv,P009,A041,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A041_P009_G002_C003,RGB_P001-P010/P001-P010/P009/A041_P009_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A041_P009_G002_C003.csv,P009,A041,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-4.88,-4.88,pairwise_skeleton_registration,6.24,0.2274,264,264,236,high
A041_P009_G002_C005,RGB_P001-P010/P001-P010/P009/A041_P009_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A041_P009_G002_C005.csv,P009,A041,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-25.77,-25.77,pairwise_skeleton_registration,8.81,0.317,264,264,188,medium
